폴리오 2차 접종,"두 번째 폴리오 백신은 첫 번째 접종 이후 4주 간격으로 투여됩니다. 두 번째 접종을 통해 초기 면역 강화를 더욱 강화시킵니다.",A4,A5,baby,접종
폴리오 3차 접종,"세 번째 폴리오 백신은 두 번째 접종 이후 4주 간격으로 투여됩니다. 이로써 폴리오 바이러스에 대한 완전한 예방 효과를 위한 면역력이 구축됩니다.",A6,A7,baby,접종
폴리오 4차 접종,"네 번째 폴리오 백신은 세 번째 접종 이후 6~12개월 간격으로 투여됩니다. 마지막 접종으로 어린이의 폴리오에 대한 지속적인 면역력을 유지하고 강화시킵니다.",A48,A60,baby,접종
MMR 1차 접종,"MMR 백신은 홍역(Measles), 유행성이하선염(Mumps), 풍진(Rubella)에 대한 예방주사로 입니다. 첫 번째 MMR 백신은 보통 1세 이전에 투여됩니다. 이 시점에서 어린이는 홍역, 유행성이하선염, 풍진에 대한 초기 면역력을 갖추게 됩니다.",A12,A15,baby,접종
MMR 2차 접종,"두 번째 MMR 백신은 첫 번째 접종 이후 4~6세 사이에 투여됩니다. 두 번째 접종을 통해 초기 접종으로부터의 보호 효과를 강화하고, 지속적인 면역력을 제공합니다. 2차 접종은 예방 효과를 높이고, 감염병에 대한 보호를 강화하는 데 기여합니다.",A48,A60,baby,접종
수두 접종,"보통 1세 이전, 12~15개월 사이에 투여됩니다. 이 초기 접종은 어린이가 수두에 대한 면역력을 형성하는 데 중요합니다. 수두에 감염되었을 때 나타나는 증상의 심각성을 감소시키고, 합병증을 예방하는데 도움을 줍니다.",A12,A13,baby,접종
일본 뇌염 1차 접종,"일본뇌염(Japanese encephalitis) 생백신은 일본뇌염 바이러스에 대한 예방을 위해 사용되는 백신입니다. 생후 12 ~ 23개월에 1회 접종하고, 1차 접종 12개월 후 2차 접종합니다. ",A12,A13,baby,접종
일본 뇌염 2차 접종,"2차 접종은 1차 접종 후 1년 이상이 지난 후에 접종이 권장되며, 이후 추가적인 부가 접종이 권장될 수 있습니다. 추가 접종은 2차 완료 후 1년 이상 지난 후로 추천되며, 일정한 주기로 부가 접종을 받는 것이 권장됩니다",A24,A25,baby,접종
Td(Tdap) 접종,"성인용 파상풍-디프 테리아-백일해 백신입니다. DTaP과 달리 Tdap에서 소문자로 표시된 백신의 용량에서 차이가 있습니다. 12세 이상의 아이에게 투여하며, 이후 10년 주기로 접종을 실시합니다.",A132,A144,baby,접종
폐렴구균 1차 접종,"주로 폐렴, 중이염, 수막염과 같은 감염 질환을 예방하는 데 사용됩니다. ",A2,A3,baby,접종
폐렴구균 2차 접종,초기 면역력 강화 및 폐렴구균에 대한 보다 지속적인 보호목적입니다. 1차 접종 후 2개월 지난 시점에 접종 가능합니다.,A4,A5,baby,접종
폐렴구균 3차 접종,"앞선 2차의 접종동안 폐렴구균에 대해 형성된 면역력을 강화하며, 폐렴구균에 대한 예방 효과를 지속시켜 줍니다.",A6,A7,baby,접종
폐렴구균 4차 접종,4차에 걸친 백신 접종을 통해 면역력 강화 및 폐렴구균에 대한 예방 효과를 지속합니다.,A12,A15,baby,접종
A형 간염 1차 접종,"첫 번째 접종은 A형 간염 바이러스에 대한 초기 면역력을 형성하고, 감염 예방을 위한 토대를 마련합니다.",A10,A11,baby,접종
A형 간염 2차 접종,"2차 접종은 초기 접종을 통해 형성된 면역력을 강화하고, 지속적인 보호를 제공합니다.",A18,A19,baby,접종
이중 표지물질 검사,9~13주 사이에 시행하며 다운 증후군을 선별하기 위한 검사입니다.,B9,B13,mother,검사
삼중 표지물질 검사 (트리플마커 검사),"다운 증후군, 에드워드 증후군, 신경관 결손증을 선별하기 위한 검사입니다. 검사의 진단율은 약 60% 정도입니다.",B16,B18,mother,검사
융모막 융모 생검," 11~13주 사이에 태아의 염색체를 검사하기 위해 시행하는 것으로서, 양수 검사에 비해 조기 진단할 수 있는 장점이 있으나 태아 손실률은 1.5~3% 정도로 더 높습니다.",B11,B13,mother,검사
양수 검사,태아의 염색체 이상이나 태아의 문제를 확인하기 위해 양수를 채취하는 검사를 양수검사라고 합니다.,B15,B20,mother,검사
NIPT,"비침습적 산전 기형아 검사(NIPT)는 임신 10주 이후부터 임신부의 혈액에 존재하는 태아 DNA를 차세대염기서열분석법(NGS)을 이용하여 태아의 다운증후군, 에드워드증후군, 파타우증후군 등의 염색체 이상 여부를 안전하고 정확하게 선별해내는 비침습적 산전 염색체 이상 검사",B10,B22,mother,검사
신경관 결손 검사,"무뇌증, 척추 이분증 등 결손 이상 검사",B11,B13,mother,검사
초음파검사," 태아의 성장 발육정도, 태아의 크기, 위치 및 태반의 위치, 모양진단",B12,B14,mother,검사
태아심장기형검사,태아의 심장 기형을 조기에 발견하기 위한 검사,B20,B24,mother,검사
초음파검사,태아의 기형 발견이 가장 용이한 검사,B21,B25,mother,검사
임신성 당뇨검사,"당뇨병의 임산부는 신생아도 기형, 당뇨 및 사망률이 높아 이를 예방하기 위한 검사",B24,B28,mother,검사
간기능 검사,"임산부의 간기능, 빈혈 등의 변화를 확인하기 위한 검사",B25,B29,mother,검사
4D (입체초음파),"태아의 손가락, 발가락 및 얼굴모양 등 외형 기형을 자세히 관찰하기 위한 검사입니다. (사진 및 비디오 촬영을 해 드립니다)",B26,B28,mother,검사
NST(태아안전검사),"태아의 산모의 기능적 상태를 진단, 태아의 심음과 자궁수축 측정하는 검사",B32,B33,mother,검사
항문외과검사,"임신 중 복압상승으로 인하여 항문질환(치핵, 치열, 치루)의 발생 빈도가 높아지므로 이에 조기 검진을 합니다.",B30,B35,mother,검사
분만전검사,"일반혈액검사, 간기능검사, 혈액응고검사, 심전도, 흉부X선 촬영 - 분만시 수술 등 응급상황에 대비하여 미리 산모의 건강상태를 점검하기 위한 검사",B35,B36,mother,검사
초음파검사,"임신 말기 초음파 검사, 태아의 위치, 크기 및 태반의 위치, 양수정도 등을 진단하여 분만전에 산모와 태아의 전반적인 상태를 최종 점검, 분만방법 결정",B36,B37,mother,검사
NST 검사,"태아의 안전상태와 자궁 수축을 알 수 있는 검사로서 임신성 당뇨, 임신중독증 등 합병증이 동반된 임신과 조기 진통이 의심되는 경우 시행합니다.",B37,B38,mother,검사
선천성 대사이상 질환 검사,"정신박약증, 페닐케톤뇨증, 선천성갑상샘 능저하증, 갈락토스혈증 등을 밝히는 검사입니다.",A0,A1,baby,검사
